date,side,position,player,team,result,firstbloodkill,firstbloodvictim,firstdragon,infernals,mountains,clouds,oceans,firstherald,firstbaron,firsttower,firstmidtower,firsttothreetowers,dpm,damageshare,wpm,wcpm,earned_gpm,cspm,xpat10,csat10,golddiffat10,xpdiffat10,csdiffat10,xpat15,csat15,golddiffat15,xpdiffat15,csdiffat15,damagetakenperminute,damagemitigatedperminute,kd,apm,mkoj_pm,mkej_pm,dragonsdiff,elementaldrakesdiff,eldersdiff,heraldsdiff,baronsdiff,towersdiff,inhibitorsdiff
4/9/2018 17:34,0,top,ChosenOne,Could Be Better,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.2377,0.291184,0.3056,0.1019,175.6197,7.6739999999999995,4652.0,71.0,407.0,621.0,7.0,7563.0,126.0,388.0,809.0,8.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
4/9/2018 17:34,0,jng,Warden,Could Be Better,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.6384,0.073647,0.4414,0.2037,113.5144,4.1087,3251.0,49.0,-351.0,-238.0,-11.0,5231.0,79.0,-577.0,-258.0,-7.0,0.0,0.0,0.0,0.07,2.65,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 17:34,0,mid,Saulius,Could Be Better,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.8761,0.192353,0.5093,0.1019,217.9966,9.3718,3949.0,76.0,-986.0,-643.0,-16.0,6983.0,137.0,-985.0,-784.0,-16.0,0.0,0.0,0.25,0.03,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 17:34,0,bot,Optimas,Could Be Better,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.3022,0.32248000000000004,0.4754,0.2377,200.03400000000002,8.8625,3205.0,83.0,-209.0,-7.0,-8.0,5190.0,134.0,-233.0,-265.0,3.0,0.0,0.0,0.0,0.1,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
4/9/2018 17:34,0,sup,Xavieles,Could Be Better,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.2598,0.120335,0.8489,0.1358,80.0679,0.4075,2576.0,5.0,13.0,-224.0,4.0,4272.0,9.0,237.0,6.0,4.0,0.0,0.0,0.6667,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 17:34,1,top,Sacre,KlikTech,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.6604,0.218646,0.5772,0.1358,295.6537,9.4397,4031.0,64.0,-407.0,-621.0,-7.0,6754.0,118.0,-388.0,-809.0,-8.0,0.0,0.0,2.0,0.07,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4/9/2018 17:34,1,jng,Stefan,KlikTech,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.9185,0.100803,0.5093,0.2377,237.0119,5.6027,3489.0,60.0,351.0,238.0,11.0,5489.0,86.0,577.0,258.0,7.0,0.0,0.0,2.0,0.34,3.36,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 17:34,1,mid,Milica,KlikTech,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.3209,0.294591,0.6452,0.1358,405.0594,11.1375,4592.0,92.0,986.0,643.0,16.0,7767.0,153.0,985.0,784.0,16.0,0.0,0.0,10.0,0.03,0.85,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 17:34,1,bot,Nikola,KlikTech,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.7912,0.241064,0.4075,0.3735,328.7267,10.2207,3212.0,91.0,209.0,7.0,8.0,5455.0,131.0,233.0,265.0,-3.0,0.0,0.0,2.0,0.27,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4/9/2018 17:34,1,sup,EdinPriqtel,KlikTech,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.618,0.144897,0.9847,0.3735,163.1239,0.9508,2800.0,1.0,-13.0,224.0,-4.0,4266.0,5.0,-237.0,-6.0,-4.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 17:34,0,team,0,Could Be Better,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1855.3141,0.0,2.5806,0.7809999999999999,787.1986,30.4244,17633.0,284.0,-1126.0,-491.0,-24.0,29239.0,485.0,-1170.0,-492.0,-8.0,0.0,0.0,0.25,0.24,3.33,0.14,-4.0,-4.0,0.0,1.0,-1.0,-10.0,-2.0
4/9/2018 17:34,1,team,0,KlikTech,1,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,2102.3089999999997,0.0,3.1239,1.2564,1429.5416,37.3514,18124.0,308.0,1126.0,491.0,24.0,29731.0,493.0,1170.0,492.0,8.0,0.0,0.0,4.0,1.09,4.38,1.36,4.0,4.0,0.0,-1.0,1.0,10.0,2.0
