gamenum,position,R_firstdragon,R_infernals,R_mountains,R_clouds,R_oceans,R_firstherald,R_firstbaron,R_firsttower,R_firstmidtower,R_firsttothreetowers,R_dragonsdiff,R_elementaldrakesdiff,R_eldersdiff,R_heraldsdiff,R_baronsdiff,R_towersdiff,R_inhibitorsdiff,B_firstdragon,B_infernals,B_mountains,B_clouds,B_oceans,B_firstherald,B_firstbaron,B_firsttower,B_firstmidtower,B_firsttothreetowers,B_elementaldrakesdiff,B_eldersdiff,B_heraldsdiff,B_baronsdiff,B_towersdiff,B_inhibitorsdiff,res
12,0.6992369758765102,0.0,0.0,0.0,0.0,0.16520707331433873,0.6911371504359621,0.7366716291655973,0.9263470439222855,0.7067472611084381,0.0,0.0,0.0,-0.3471340344785725,0.22274996629690147,3.706041737974864,0.28900875986005314,0.4188756143434006,0.0,0.0,0.0,0.0,0.5731812061710791,0.3134089006823623,0.38343737331569555,0.22313589329837846,0.41940969181560334,0.0,0.0,0.0,0.42379789083605035,-0.141023085290661,-1.6395262320390016,0.13984425399668926,Blue
13,0.21423396799614094,0.0,0.0,0.0,0.0,0.24527502572857307,0.1486732312636238,0.22382665247392491,0.30348447793507144,0.2966219847221387,0.0,0.0,0.0,-0.46098221592120536,-0.6621674815219718,-3.7786564105320357,-1.0842301950043733,0.8153359566982312,0.0,0.0,0.0,0.0,0.7444744126928462,0.5395791843963238,0.8142285116661154,0.8394925279155743,0.7850792091192376,0.0,0.0,0.0,0.5127554028386265,0.40428443483466686,2.627964023998781,1.1093506016873964,Red
14,0.4078178583748794,0.0,0.0,0.0,0.0,0.3709460945540179,0.7539136166019882,0.8924926297648101,0.910118655560471,0.8796307651475668,0.0,0.0,0.0,0.23535016512746232,0.6680279693274384,0.25276659654587386,0.03423304078111333,0.6060456548968197,0.0,0.0,0.0,0.0,0.14332097774040145,0.08039944716863512,0.12584747302081611,0.1635022079036117,0.16180179169122616,0.0,0.0,0.0,-0.20904353233316791,-0.8063053203957917,-0.8963612316719131,-0.027588653072268876,Red
15,0.7311068059649162,0.0,0.0,0.0,0.0,0.23051631000044415,0.958795666919452,0.6783452603951955,0.21584045772264282,0.676377437767491,0.0,0.0,0.0,-0.5175368488261375,1.6351307648611244,5.585149849444475,1.1026934103558588,0.154616731129605,0.0,0.0,0.0,0.0,0.7319837439263226,0.28056580808859766,0.14415362083352723,0.4983265228945283,0.1136218811581937,0.0,0.0,0.0,0.49924212513634236,-1.1391351716711546,-5.529549296912588,-1.007584460102938,Red
16,0.7025345876864036,0.0,0.0,0.0,0.0,0.3470473846875139,0.25652486459123286,0.27608110188734986,0.7997137643038326,0.3609805449302341,0.0,0.0,0.0,-0.2144152140258168,-0.6002693510980899,-0.8166750047048601,-0.1921033309263794,0.4589333353478001,0.0,0.0,0.0,0.0,0.1439682419976976,0.7656036190027686,0.8218876131510477,0.9540492663404541,0.8814803712861936,0.0,0.0,0.0,-0.1963127460894893,0.9634254633852763,4.3379437719714815,0.6648020481217831,Red
17,0.7333799871152001,0.0,0.0,0.0,0.0,0.5557671057714848,0.38643437076847603,0.4173189406839797,0.49422933638449473,0.4502454857790698,0.0,0.0,0.0,0.37171749331169324,-0.4879966984718153,-2.613900000147027,-1.1109836978414493,0.3541854167296188,0.0,0.0,0.0,0.0,0.17442088256242805,0.6215813630938365,0.6375003941609703,0.9106734145731392,0.6818431366026936,0.0,0.0,0.0,-0.5896308670652965,0.6731734519807899,4.483705274124109,1.3606188140038058,Red
18,0.19283999959735,0.0,0.0,0.0,0.0,0.1023286595553589,0.3109041990865149,0.3189494200213744,0.9402493542620154,0.825593608930596,0.0,0.0,0.0,-0.7645068752090096,-0.17809169370224423,-0.8138621093795946,0.1508286344424547,0.8511561848978006,0.0,0.0,0.0,0.0,0.7622865900800759,0.6930084019716825,0.7086425904425303,0.2630776848304106,0.24079001989383417,0.0,0.0,0.0,0.6551580197792095,0.2707925297493997,1.7521763366913783,-0.02559589643738107,Blue
19,0.7806844531124172,0.0,0.0,0.0,0.0,0.5476008467829799,0.04148455504957859,0.544543585391293,0.582391825523813,0.09443383348220613,0.0,0.0,0.0,0.34795059081378094,-0.8994099699203826,-3.90530074462905,-0.5107895348611733,0.36244457804368124,0.0,0.0,0.0,0.0,0.5857721395337524,0.35750245982724005,0.861286926654454,0.9495358749165753,0.8315298150748074,0.0,0.0,0.0,0.3288843326493503,-0.37847010649220625,-0.12688511447839443,-0.36597321160741814,Blue
20,0.621930568847263,0.0,0.0,0.0,0.0,0.22946909384478062,0.03601013746248683,0.2170749704419154,0.5476644662273067,0.04022827897600644,0.0,0.0,0.0,-0.4073623228456631,-0.9518049868529808,-4.488518614578251,-1.0534682764800367,0.17924936669667754,0.0,0.0,0.0,0.0,0.7836557211573048,0.6634699255024137,0.9308611393095142,0.5003303447239555,0.9223628701976503,0.0,0.0,0.0,0.6488579576609173,0.2790816226486811,1.35833952767255,0.2903516672153932,Blue
21,0.22756521308897698,0.0,0.0,0.0,0.0,0.0909111435576494,0.2002219964832027,0.12665663970130986,0.23427760050710333,0.2184202196555002,0.0,0.0,0.0,-0.515537689776427,-0.7879226167766556,-5.28992440983057,-1.939170883640001,0.20616306614677116,0.0,0.0,0.0,0.0,0.20612986628616578,0.8797422242344504,0.4718384340409223,0.4659527060851236,0.9483795037561766,0.0,0.0,0.0,-0.33922025913559634,0.8374566522702713,3.618497914927267,0.527506106787981,Red
