r_top_pred,r_jng_pred,r_mid_pred,r_bot_pred,r_sup_pred,obj_pred,b_top_pred,b_jng_pred,b_mid_pred,b_bot_pred,b_sup_pred,res
0.4971163272857666,0.676423966884613,0.39589542150497437,0.424032986164093,0.7212728261947632,Red,0.5028836727142334,0.32357603311538696,0.6041045784950256,0.575967013835907,0.2787271738052368,Red
0.4688599705696106,0.4109978675842285,0.4017646312713623,0.3646620512008667,0.4530417323112488,Red,0.5311400294303894,0.5890021324157715,0.5982353687286377,0.6353379487991333,0.5469582676887512,Red
0.6344054937362671,0.43069738149642944,0.4277803301811218,0.5093512535095215,0.47328686714172363,Blue,0.3655944764614105,0.5693026185035706,0.5722196698188782,0.4906487464904785,0.5267131328582764,Blue
0.5344582796096802,0.23951822519302368,0.45238548517227173,0.3469143509864807,0.5349326729774475,Red,0.4655417501926422,0.7604817748069763,0.5476145148277283,0.6530856490135193,0.4650673270225525,Red
0.37120527029037476,0.35386955738067627,0.39084380865097046,0.4534827470779419,0.5180782079696655,Red,0.6287947297096252,0.6461304426193237,0.6091561913490295,0.5465172529220581,0.48192182183265686,Blue
0.38791513442993164,0.46568912267684937,0.44224101305007935,0.5168648362159729,0.46958404779434204,Red,0.6120848655700684,0.5343108773231506,0.5577589869499207,0.4831351637840271,0.530415952205658,Blue
0.37120527029037476,0.3322266936302185,0.5482752323150635,0.16705119609832764,0.3706861138343811,Red,0.6287947297096252,0.6677733063697815,0.45172473788261414,0.8329488039016724,0.6293138861656189,Blue
0.6898209452629089,0.5879138112068176,0.8406973481178284,0.6727404594421387,0.4425317049026489,Red,0.31017905473709106,0.4120861887931824,0.15930263698101044,0.32725951075553894,0.5574682950973511,Red
0.45131027698516846,0.27013659477233887,0.4782273769378662,0.43066346645355225,0.35140782594680786,Red,0.5486897230148315,0.7298634052276611,0.5217726230621338,0.5693365335464478,0.6485921740531921,Red
0.30580949783325195,0.5161300301551819,0.6113408803939819,0.30194467306137085,0.3894006609916687,Blue,0.694190502166748,0.4838699698448181,0.38865911960601807,0.6980553269386292,0.6105993390083313,Red
0.272544801235199,0.4586487412452698,0.2921220064163208,0.43083494901657104,0.4486258029937744,Red,0.727455198764801,0.5413512587547302,0.7078779935836792,0.569165050983429,0.5513741970062256,Blue
0.8046060800552368,0.5362273454666138,0.4085816740989685,0.5020015239715576,0.6264238357543945,Blue,0.19539391994476318,0.4637726843357086,0.5914183259010315,0.4979984760284424,0.37357616424560547,Red
0.34771794080734253,0.34426581859588623,0.3503609895706177,0.3467486500740051,0.4786412715911865,Blue,0.6522820591926575,0.6557341814041138,0.6496390104293823,0.6532513499259949,0.5213587284088135,Red
0.5563924312591553,0.4285860061645508,0.5098221302032471,0.45298540592193604,0.4275944232940674,Blue,0.4436075985431671,0.5714139938354492,0.49017786979675293,0.547014594078064,0.5724055767059326,Red
0.8423941135406494,0.4482293128967285,0.7117948532104492,0.7616815567016602,0.621624231338501,Blue,0.15760590136051178,0.5517706871032715,0.2882051169872284,0.23831847310066223,0.378375768661499,Blue
0.23198562860488892,0.5781286954879761,0.25096750259399414,0.4769333004951477,0.2506043314933777,Red,0.7680143713951111,0.42187127470970154,0.7490324974060059,0.5230666995048523,0.7493956685066223,Blue
0.3661684989929199,0.13925689458847046,0.29124587774276733,0.5116634368896484,0.2876906394958496,Red,0.6338315010070801,0.8607431054115295,0.7087541222572327,0.4883365333080292,0.7123093605041504,Red
0.3637678027153015,0.3259814977645874,0.48709702491760254,0.6453661918640137,0.467380166053772,Red,0.6362321972846985,0.6740185022354126,0.5129029750823975,0.35463377833366394,0.532619833946228,Red
0.6933931708335876,0.4337957501411438,0.39002901315689087,0.35267484188079834,0.36046797037124634,Blue,0.30660682916641235,0.5662042498588562,0.6099709868431091,0.6473251581192017,0.6395320296287537,Red
0.4031689763069153,0.35657650232315063,0.3088393211364746,0.3480250835418701,0.48025786876678467,Red,0.5968310236930847,0.6434234976768494,0.6911606788635254,0.6519749164581299,0.5197421312332153,Red
0.5336397290229797,0.5851321220397949,0.7946596741676331,0.4846479892730713,0.6315647959709167,Blue,0.46636027097702026,0.4148678481578827,0.20534032583236694,0.5153520107269287,0.36843520402908325,Red
0.2177148461341858,0.40259766578674316,0.15419811010360718,0.3726670742034912,0.3603992462158203,Red,0.7822851538658142,0.5974023342132568,0.8458018898963928,0.6273329257965088,0.6396007537841797,Blue
0.4834158420562744,0.4715278744697571,0.2577230930328369,0.49705034494400024,0.5078270435333252,Red,0.5165841579437256,0.5284721255302429,0.7422769069671631,0.5029496550559998,0.4921729266643524,Red
0.4827697277069092,0.49570345878601074,0.40047305822372437,0.318317174911499,0.3369709253311157,Red,0.5172302722930908,0.5042965412139893,0.5995269417762756,0.681682825088501,0.6630290746688843,Red
