gamenum,position,R_firstdragon,R_infernals,R_mountains,R_clouds,R_oceans,R_firstherald,R_firstbaron,R_firsttower,R_firstmidtower,R_firsttothreetowers,R_dragonsdiff,R_elementaldrakesdiff,R_eldersdiff,R_heraldsdiff,R_baronsdiff,R_towersdiff,R_inhibitorsdiff,B_firstdragon,B_infernals,B_mountains,B_clouds,B_oceans,B_firstherald,B_firstbaron,B_firsttower,B_firstmidtower,B_firsttothreetowers,B_elementaldrakesdiff,B_eldersdiff,B_heraldsdiff,B_baronsdiff,B_towersdiff,B_inhibitorsdiff,res
10,0.6213636477439226,0.24446093672034722,0.30619047682153644,0.3297567060455389,0.7702465903188027,0.00830841064453168,0.4554273160909417,0.42101174972065636,0.41492375362495915,0.42604657269117124,-0.14873029981636285,-0.14442813824538397,-0.0043021615709788645,0.00830771768412676,0.06843632395407159,0.6512852401142115,0.46796884331583766,0.31474487852033894,0.051516526596525426,0.6000783453045297,1.052960296338389,0.2150951807504524,0.13339090347290977,0.5812378883426248,0.514676300780234,0.5384542855736439,0.5955173959652345,0.40454011702558246,0.4128627451533237,-0.008322628127741271,0.13337981610675942,0.01934272751199003,0.23093530257325812,-0.2782044509462527,Red
11,0.5264976921169976,0.5147194823975109,0.024705171150673014,1.1379904439389232,1.0079569246974627,0.000259637832641615,0.30182975987784194,0.7926976328037705,0.78493902355078,0.7928549710215991,1.9101471000057386,1.9178499019298316,-0.007702801924093089,-0.01487710257237104,-0.028134802376435262,3.7591221950035694,1.35422363572862,0.6077361680787605,0.9703598914561414,0.13984619829076655,0.04047336863557466,0.014290083773451638,0.00416846573352843,0.040868762135707025,0.11447230627438232,0.08494193079917638,0.08672515299891358,-0.5928268713429505,-0.5622933517139587,-0.030533519628991916,-0.17747250574666376,-0.9000303053902503,-8.446640693669586,-1.7872583422170703,Red
12,0.7997782481911562,0.5004599838249222,0.06131891159845853,0.03934638106059135,1.0040328335842958,8.113682270050469e-06,0.5051597190586825,0.07396613696261783,0.058586961673461876,0.5432093350319249,-0.24304227812482065,-0.22766484681469276,-0.01537743131012791,-0.0912852219553866,-0.4511965953867636,-6.046956142343639,-1.3313377379459808,0.2725317943149613,1.2526137856705044,0.011938553071586455,0.5651075662073617,0.49238992449292035,0.00013026455417276345,0.14507597694174085,0.8777227673835745,0.8730157634624742,0.392480668843716,0.9388716212080328,0.9436099733839388,-0.004738352175905998,-0.013114375179583242,-0.04326266579344532,3.542927243947825,1.0983229814932165,Blue
13,0.32772744525597364,0.015639374494528818,0.017052934737451828,0.3039639494081435,0.15246977604950923,2.5355257093907715e-07,0.5607081162205838,0.0779950355300818,0.07751443630229568,0.09265888546974765,-2.7322044461914006,-2.625766870212959,-0.1064375759784415,-0.0028526631861058313,-0.21087723735583636,-5.971193941948239,-1.8882839918108119,0.16208107169734254,0.05727162220845326,0.2909004235334871,1.01912445519398,0.11408103279665377,0.0664713559235679,0.2809618469356794,0.2716304966369867,0.2835683637019523,0.2967498841826161,-0.26320176574349896,-0.2590253719255019,-0.004176393817997063,0.06605746093188802,-0.4937835989310452,-4.733460769720381,-1.588968422453337,Red
14,0.5795774201642492,0.49096724607795406,0.48979071671054536,0.48459652966900446,0.29114163362654716,0.19531250792351784,0.9391529880068932,0.902095547985315,0.4930229120719467,0.7643701995459296,0.8031684157440188,0.509131308743345,0.2940371070006737,0.1590905417754342,0.9896259066451301,5.874191204939118,1.9181639768184122,0.005065033490541954,0.0017897381940141645,0.25909063823542144,0.10899607672481187,0.12856503227489544,0.002077229872611497,0.13378005771673998,0.07098845301990583,0.21100994886568603,0.19677343388070676,-0.9896703676794844,-1.121864074122672,0.1321937064431876,-0.7166857043458785,-1.0437510499665952,-6.113252680303762,-0.9593232319516668,Red
15,0.7871547631301328,1.2293319842524362,0.2599348661472045,0.2526924696771564,0.6366616526133296,0.10375976587260993,0.9745389605627154,0.9623945874370411,0.7450822589709983,0.8889988734233103,1.9224989153357506,1.7646286151169797,0.15787030021877105,0.08456142318048232,1.0134087197389103,8.057713982966847,2.0172790500568256,0.00015828229657943607,5.592931856294264e-05,0.12528408244485692,0.04783972114765037,0.06261140725859049,6.491343351910928e-05,0.06277437680364813,0.03151526415687206,0.1096214046520527,0.09403979480877209,-1.9982123552399838,-2.0685055179413334,0.07029316270134961,-0.3895839282608087,-1.061425814061456,-8.049681724384492,-1.5072737728734895,Red
16,0.9127821800978166,0.5389049057578886,0.42804483956710015,0.49227163967741117,0.3426495828941666,0.9075393676835191,0.9830910612675848,0.9021451433574075,0.8953541330928437,0.8998515272944785,1.7553905911042422,1.7021173004724055,0.0532732906318366,0.90693941947439,1.258719803741841,9.342623874467714,1.9038602828142759,0.4086963525717681,0.06054862279120509,0.4163907135139018,0.24746667097336408,0.24414410647683094,0.007570387919797472,0.157113066462614,0.21289891450490225,0.46131141108287665,0.15430593108777413,-1.1712087845387495,-0.9350021255606666,-0.23620665897808282,-0.36788738838315027,-0.7748687754394206,-7.479335757012016,-2.1397536725897965,Red
17,0.23287014625305677,0.04711421580493402,0.21961419420522188,0.1383693285836691,0.1318015494654427,0.03214478492760997,0.10829727925836202,0.134149066979919,0.2569226877529014,0.10380395397795245,-1.9526513682467423,-1.8351144984227372,-0.1175368698240051,-0.6338895884539253,-0.8158896155080675,-7.681309605485384,-1.9555800497558038,0.9412385578928677,0.2521362850872252,0.7073481472973094,0.7342958334679176,0.653381456452401,0.9367600121224937,0.9656031427019567,0.9270632473282782,0.9348261378463398,0.9252322165964929,2.264180975483164,2.2473925117012294,0.016788463781934913,0.9250269566130266,1.073685741392518,8.671055913843375,1.8222928539815688,Blue
18,0.568434418632908,0.010536039947029188,0.6365016154439131,0.5050564633932397,0.053465722248920086,0.03423816710711281,0.14159840130494883,0.12629298842124748,0.13617214453915316,0.14548630520243602,-0.6916661072108357,-0.6859789198725855,-0.0056871873382501595,0.013424592938939835,-0.7560873707971272,-7.505879548218293,-2.325882384367369,0.49816370493415213,0.007879258908975787,0.08851087960304092,0.5119604166708724,0.05362129551413753,0.02927375037882793,0.06337822320943615,0.5143222889790087,0.08268011368269812,0.0787181942686404,-2.3308556726411513,-1.8976644918218366,-0.4331911808193145,-0.15468665760584294,-0.9466719299564839,-6.553858604254895,-1.606505496750576,Blue
19,0.7365135755822784,0.00032925124834466213,0.5374688004826222,1.2290398504185387,0.018272366320278753,0.0010699427220972754,0.02102651254077965,0.730997437138164,0.5153637779543485,0.5138237907875761,-0.2536702299128386,-0.0366345951522683,-0.2170356347605703,-0.09137735647065813,-0.5137400350249102,-3.6469732866630715,-0.9044098987302303,0.29614622906044225,0.489153087192468,0.317585300925095,0.26636497395846476,0.026349127398879298,0.017531625988400874,0.5554626251393574,0.07712298656965652,0.06665540882602182,0.07358115939120752,-1.3569121157465984,-1.3423678112678699,-0.014544304478728579,0.011782863238879908,-0.3948789079673901,-3.837727392906403,-1.1825885506797054,Blue
