player,firstdragon,infernals,mountains,clouds,oceans,firstherald,firstbaron,firsttower,firstmidtower,firsttothreetowers,dragonsdiff,elementaldrakesdiff,eldersdiff,heraldsdiff,baronsdiff,towersdiff,inhibitorsdiff
Reelople,0.25,0.0,0.0,0.0,0.75,0.875,0.125,0.875,0.03125,0.0,-1.15625,-1.15625,0.0,0.78125,-0.71875,-4.46875,-0.9375
Draqon,0.4881139397621155,0.7093855738639832,0.03375720977783203,0.09430700540542603,0.4158555567264557,0.22046703100204468,0.24178773164749146,0.18733498454093933,0.03864333778619766,0.24958083033561707,-0.9193048626184464,-0.919312372803688,7.510185241699219e-06,-0.5570803806185722,-0.26264943927526474,-4.567550018429756,-1.1175473630428314
Taka,0.49202822148799896,0.4097018241882324,0.4707797169685364,0.7773682177066803,0.3909914940595627,0.0841541588306427,0.45902538299560547,0.4599752724170685,0.3662196397781372,0.4600459337234497,0.161910280585289,0.16584618389606476,-0.003935903310775757,-0.8238789290189743,0.2974451929330826,-1.0075277537107468,-0.19218125939369202
Marshall,0.6252704169310486,0.07129147968966332,0.5253936151420935,0.26566744369303663,0.0351839964315277,0.20932560037239556,0.20729026729904443,0.19170366410129502,0.1916578877336046,0.19168816689307766,-1.0757189206325868,-1.009308855938902,-0.06641006469365629,-0.5813487992515636,-0.5893448977127238,-8.334584464094076,-2.54838611204768
Kiin,0.16383774935468726,0.037355811520742424,0.7707734110339693,0.15578164442606224,0.4573078813269867,0.7497147359843183,0.13209605294128787,0.24983763750095128,0.6789706960447212,0.24147117192138212,-0.7760401929951446,-0.7135579552081643,-0.062482237786980255,0.49942947197227494,-0.9113694273430256,-4.435044338031939,-0.260770475895044
Joo,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.25,-1.5,-1.5,0.0,-0.25,-0.75,-2.0,-0.25
Coma,0.562591552734375,0.064544677734375,1.3126220703125,0.125030517578125,0.641937255859375,0.2681884765625,0.923065185546875,0.5338134765625,0.204254150390625,0.640777587890625,1.31671142578125,1.09796142578125,0.21875,-0.338592529296875,1.29486083984375,5.558197021484375,2.994476318359375
Amitle,0.5625,0.09375,1.25,0.0,0.15625,0.71875,0.34375,0.53125,0.78125,0.28125,0.90625,0.90625,0.0,0.46875,-0.21875,-1.75,-0.0625
SevenArmy,0.875,0.0,0.6875,0.5,0.25,0.5,0.0,0.125,0.125,0.125,-0.75,-0.625,-0.125,0.0625,-1.0625,-7.6875,-2.0625
CooN,0.562896728515625,0.687774658203125,1.5703315734863281,0.0953369140625,0.0,0.1251354217529297,0.06363868713378906,0.029455184936523438,0.6720066070556641,0.5001316070556641,1.8873577117919922,1.0958614349365234,0.7917404174804688,-0.6617908477783203,-0.03229522705078125,1.3042564392089844,0.5543327331542969
